Sansonetti;;;;M.S.Safronova et al.;;;O. S. Heavanes;;;
Wavelengths;Unc.;sigma;Int;D;J;J';Decay width;Lower Level;Upper Level;
649.1;0.035;154059;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?25d ?1? ?1/2,3/2 , ?2? ?3/2;
649.158;0.035;154046;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?24d ?1? ?1/2,3/2 , ?2? ?3/2;
649.263;0.035;154021;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?23d ?1? ?1/2,3/2 , ?2? ?3/2;
649.412;0.035;153985;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?22d ?1? ?1/2,3/2 , ?2? ?3/2;
649.568;0.035;153948;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?21d ?1? ?1/2,3/2 , ?2? ?3/2;
649.722;0.035;153912;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?20d ?1? ?1/2,3/2 , ?2? ?3/2;
649.803;0.015;153893;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?21s ?1? ?3/2;
649.912;0.035;153867;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?19d ?1? ?1/2,3/2 , ?2? ?3/2;
650.022;0.015;153841;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?20s ?1? ?3/2;
650.102;0.035;153822;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?18d ?1? ?1/2,3/2 , ?2? ?3/2;
650.284;0.015;153779;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?19s ?1? ?3/2;
650.391;0.035;153754;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?17d ?1? ?1/2,3/2 , ?2? ?3/2;
650.602;0.015;153704;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?18s ?1? ?3/2;
650.743;0.035;153670;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?16d ?1? ?1/2,3/2 , ?2? ?3/2;
650.982;0.015;153614;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?17s ?1? ?3/2;
651.183;0.035;153567;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?15d ?1? ?1/2,3/2 , ?2? ?3/2;
651.504;0.015;153491;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?16s ?1? ?3/2;
651.743;0.035;153435;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?14d ?1? ?1/2,3/2 , ?2? ?3/2;
652.029;0.035;153367;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?19d ?2? ?3/2;
652.183;0.015;153331;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?15s ?1? ?3/2;
652.274;0.035;153310;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?18d ?2? ?3/2;
652.451;0.035;153268;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?13d ?1? ?1/2,3/2 , ?2? ?3/2;
652.522;0.035;153252;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?l7d ?2? ?3/2;
652.897;0.035;153164;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?16d ?2? ?3/2;
653.052;0.015;153127;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?14s ?1? ?3/2;
653.343;0.035;153059;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?15d ?2? ?3/2;
653.552;0.035;153010;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?12d ?1? ?1/2,3/2 , ?2? ?3/2;
653.949;0.035;152917;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?14d ?2? ?3/2;
654.207;0.015;152857;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?15s ?0? ?1/2;
654.227;0.015;152852;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?13s ?1? ?3/2;
654.685;0.035;152745;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?13d ?2? ?3/2;
654.917;0.035;152691;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?11d ?1? ?1/2,3/2 , ?2? ?3/2;
655.186;0.015;152628;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?14s ?0? ?1/2;
655.706;0.035;152507;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?12d ?2? ?3/2;
655.937;0.015;152454;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?12s ?1? ?3/2;
656.395;0.015;152347;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?13s ?0? ?1/2;
656.741;0.035;152267;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?10d ?1? ?1/2,3/2 , ?2? ?3/2;
657.175;0.035;152166;;;;;4.00E+08;6s 2 S 1/2;5p 5 6s? 3 P 0 ?11d ?2? ?3/2;
657.998;0.015;151976;;;;;4.00E+08;6s 2 S 1/2;5p 5 6s? 3 P 0 ?12s ?0? ?1/2;
658.451;0.015;151872;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?11s ?1? ?3/2;
659.198;0.035;151699;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?10d ?2? ?3/2;
659.954;0.035;151526;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?9d ?1? ?1/2,3/2 , ?2? ?3/2;
